title,release_date,length,type,director,actors,synopsis,sessions,rating
La Fille d’Albino Rodrigue,10 mai 2023,1h 30min,Drame,Christine Dory,"['Galatea Bellugi', 'Emilie Dequenne', 'Samir Guesmi']","Rosemay, 16 ans, vit en famille d'accueil et ne rejoint sa famille biologique que pour les vacances. Un jour, son père n’est pas là pour l’accueillir comme prévu. D’ailleurs, il ne réapparaît pas et semble s’être évaporé...",97,"{'critics': 3.4, 'audience': 3.0}"
L'Établi,5 avril 2023,1h 57min,Drame,Mathias Gokalp,"['Swann Arlaud', 'Mélanie Thierry', 'Denis Podalydès']","Quelques mois après mai 68, Robert, normalien et militant d’extrême-gauche, décide de se faire embaucher chez Citroën en tant que travailleur à la chaîne. Comme d’autres de ses camarades , il veut s’infiltrer en usine pour raviver le feu révolutionnaire, mais la majorité des ouvriers ne veut plus entendre parler de politique.",56,"{'critics': 3.5, 'audience': 3.8}"
La Plus belle pour aller danser,19 avril 2023,1h 32min,Comédie,Victoria Bedos,"['Brune Moulin', 'Philippe Katerine', 'Pierre Richard']","Marie-Luce Bison, 14 ans, est élevée par son père dans une joyeuse pension de famille pour seniors dont il est le directeur. C'est bientôt la soirée déguisée de son nouveau collège : son père ne veut pas qu'elle y aille ... et de toute façon, elle n'est pas invitée. Mais poussée par Albert, son meilleur ami de 80 ans, Marie-Luce, s'y incruste, habillée en homme.",66,"{'critics': 2.9, 'audience': 3.5}"
Sur les chemins noirs,22 mars 2023,1h 35min,Drame,Denis Imbert,"['Jean Dujardin', 'Joséphine Japy', 'Izïa Higelin']","Un soir d’ivresse, Pierre, écrivain explorateur, fait une chute de plusieurs étages. Cet accident le plonge dans un coma profond. Sur son lit d’hôpital, revenu à la vie, il se fait la promesse de traverser la France à pied du Mercantour au Cotentin.",48,"{'critics': 3.0, 'audience': 3.6}"
Pompoko,18 janvier 2006,1h 54min,"Animation,  Comédie dramatique",Isao Takahata,"['Makoto Nonomura', 'Yuriko Ishida', 'Akira Kamiya']","Espèce mi-raton laveur mi-blaireau, les Tanukis partageaient aisément leur espace vital avec les paysans. Entrecoupée de batailles entre tribus, leur vie insouciante leur faisait ignorer la présence toujours plus proche des hommes… Jusqu’au jour où ces derniers décident de s’approprier leur territoire et de faire de la montagne une ville. Capables de se métamorphoser à volonté, les Tanukis vont tenter d’effrayer les humains grâce à leurs pouvoirs extraordinaires. Cependant, il en faudra plus pour que les hommes renoncent à la destruction de la forêt. Face à la menace expansionniste, la riposte des Tanukis s’organise mais les animaux ne sont pas au bout de leurs peines !",58,"{'critics': 4.4, 'audience': 3.7}"
Monsieur Constant,17 mai 2023,1h 48min,Comédie dramatique,Alan Simon,"['Jean-Claude Drouot', 'Cali', 'Danièle Evenou']","Sur l'île aux moines en Bretagne, Constant Lucas ancien photographe de guerre vit dans le souvenir de celle que l'on surnommait ""l'étoile de Sibérie"". Le vieil homme ne peut oublier cet amour passionnel qui le hante! Son fils Sergio débarque tout à coup sur l'île avec la petite Adéla que le vieil homme ne connait pas...",76,"{'critics': 2.3, 'audience': 3.7}"
Dirty Difficult Dangerous,26 avril 2023,1h 23min,Drame,Wissam Charaf,"['Clara Couturet', 'Ziad Jallad', 'Darina Al Joundi']","Ahmed, réfugié syrien espérait trouver l’amour en Mehdia, une femme de ménage éthiopienne. Mais à Beyrouth, cela semble impossible... Ce couple de réfugiés sentimentaux réussira-t-il à trouver sa voie vers la liberté alors qu'Ahmed, survivant de la guerre en Syrie, semble rongé par un mal mystérieux qui transforme son corps peu à peu en métal ?",44,"{'critics': 3.8, 'audience': 3.2}"
John Wick : Chapitre 4,22 mars 2023,2h 50min,Action,Chad Stahelski,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård']","John Wick découvre un moyen de vaincre l’organisation criminelle connue sous le nom de la Grande Table. Mais avant de gagner sa liberté, Il doit affronter un nouvel ennemi qui a tissé de puissantes alliances à travers le monde et qui transforme les vieux amis de John en ennemis.",27,"{'critics': 3.6, 'audience': 4.0}"
Sept hivers à Téhéran,29 mars 2023,1h 37min,Documentaire,Steffi Niederzoll,"['Zar Amir Ebrahimi', 'Reyhaneh Jabbari', 'Shole Pakravan']","En 2007 à Téhéran, Reyhaneh Jabbari, 19 ans, poignarde l’homme sur le point de la violer. Elle est accusée de meurtre et condamnée à mort. A partir d’images filmées clandestinement, Sept hivers à Téhéran montre le combat de la famille pour tenter de sauver Reyhaneh, devenue symbole de la lutte pour les droits des femmes en Iran.",42,"{'critics': 3.7, 'audience': 4.0}"
"Habib, la grande aventure",19 avril 2023,1h 28min,Comédie,Benoît Mariage,"['Bastien Ughetto', 'Catherine Deneuve', 'Thomas Solivérès']","Habib est un jeune acteur qui rêve de théâtre et de cinéma, mais qui n’enchaîne que des rôles sans envergure. Sa famille a bien du mal à comprendre cette passion qui ne lui rapporte pas un rond. Jusqu’au jour où il décroche un petit rôle de gigolo aux côtés de Catherine Deneuve. C’est le début de la grande aventure, mais aussi le début des problèmes…",30,"{'critics': 2.9, 'audience': 2.4}"
Avant l’effondrement,19 avril 2023,1h 40min,Comédie dramatique,"Alice Zeniter, Benoît Volnais","['Niels Schneider', 'Ariane Labed', 'Souheila Yacoub']","Dans un Paris caniculaire, Tristan, directeur de campagne d’une candidate aux législatives, reçoit un courrier anonyme contenant un test de grossesse positif. Parce qu’il est peut-être atteint d’une maladie génétique mortelle et incurable, il devient obsédé par l’idée de retrouver la femme qui lui a envoyé ce test.",34,"{'critics': 3.1, 'audience': 3.0}"
Kubo et l'armure magique,21 septembre 2016,1h 41min,Animation,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Ralph Fiennes']","Kubo est un être aussi intelligent que généreux, qui gagne chichement sa vie en sa qualité de conteur, dans un village de bord de mer. Cette petite vie tranquille, ainsi que celle de ses compagnons Hosato, Hashi et Kamekichi va être bouleversée quand par erreur il invoque un démon du passé.",24,"{'critics': 4.2, 'audience': 4.2}"
Mad God,26 avril 2023,1h 24min,"Animation, Expérimental, Fantastique",Phil Tippett,['Alex Cox'],"Un Assassin surgit des abysses dans une cloche à plongée et s’enfonce au cœur d’un univers infernal peuplé de créatures mutantes et de scientifiques fous. Bientôt capturé, il devient la victime du monde qu’il est chargé de détruire...",39,"{'critics': 4.2, 'audience': 3.4}"
Blue Jean,19 avril 2023,1h 37min,Drame,Georgia Oakley,"['Rosy McEwen', 'Kerrie Hayes', 'Lucy Halliday']","1988, l’Angleterre de Margaret Thatcher. Jean, professeure d’éducation physique, est obligée de cacher son homosexualité, surtout depuis le vote d’une loi stigmatisant la communauté gay. C’est sans compter sur une nouvelle étudiante qui menace de révéler son secret…",43,"{'critics': 3.5, 'audience': 3.8}"
Les Âmes sœurs,12 avril 2023,1h 40min,Drame,André Téchiné,"['Benjamin Voisin', 'Noémie Merlant', 'Audrey Dana']","David, lieutenant des forces françaises engagées au Mali, est grièvement blessé dans une explosion. Rapatrié en France, il souffre d’amnésie et commence une longue convalescence sous le regard dévoué de sa sœur Jeanne.Dans la maison familiale des Pyrénées, entre montagnes et lacs, Jeanne tente de raviver sa mémoire, mais David ne parait pas soucieux de se réconcilier avec celui qu’il était.",36,"{'critics': 3.6, 'audience': 2.9}"
Pattie et la colère de Poséidon,25 janvier 2023,1h 36min,"Aventure, Animation, Famille","David Alaux, Eric Tosti, Jean-François Tosti","['Kaycie Chase', 'Christophe Lemoine', 'Emmanuel Curtil']","La vie s’écoule paisiblement à Yolcos, belle et prospère ville portuaire de la Grèce antique, lorsque la population est menacée par la colère de Poséidon. Une jeune souris aventurière et le chat qui l’a adoptée vont alors aider à son insu le vieux Jason et ses Argonautes dans leur quête pour sauver la cité.",26,"{'critics': 2.9, 'audience': 3.8}"
